Comparison Case,N1,N2,N3,N4,N5,N6
Parmenides,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction
Heraclitus,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction
Plato,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction
Aristotle,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction
Plotinus,Partial,Non-satisfaction,Non-satisfaction,Partial,Clear satisfaction,Non-satisfaction
Upaniṣads / Advaita,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction
Sāṃkhya / Classical Yoga,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction
Nyāya / Vaiśeṣika,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction
Early Buddhism,Non-satisfaction,Partial,Non-satisfaction,Non-satisfaction,Partial,Non-satisfaction
Madhyamaka,Non-satisfaction,Partial,Non-satisfaction,Non-satisfaction,Partial,Non-satisfaction
Jain Philosophy,Non-satisfaction,Non-satisfaction,Non-satisfaction,Non-satisfaction,Partial,Non-satisfaction
Kashmir Śaivism,Partial,Partial,Partial,Partial,Clear satisfaction,Partial
Christian Trinitarian Ontology,Partial,Non-satisfaction,Non-satisfaction,Clear satisfaction,Partial,Non-satisfaction
Schelling,Partial,Partial,Partial,Partial,Clear satisfaction,Partial
Hegel,Partial,Partial,Partial,Partial,Clear satisfaction,Partial
Nishida Kitarō,Partial,Partial,Partial,Partial,Clear satisfaction,Partial
Whitehead,Partial,Partial,Non-satisfaction,Clear satisfaction,Clear satisfaction,Non-satisfaction
Merleau-Ponty,Non-satisfaction,Partial,Non-satisfaction,Non-satisfaction,Partial,Non-satisfaction
Participatory Sense-Making,Non-satisfaction,Clear satisfaction,Partial,Non-satisfaction,Partial,Non-satisfaction
Analytic Third,Partial,Clear satisfaction,Clear satisfaction,Partial,Non-satisfaction,Non-satisfaction
Cosmopsychism,Non-satisfaction,Non-satisfaction,Non-satisfaction,Partial,Clear satisfaction,Non-satisfaction
